time,x,y,z,speed,WFS,I,U,layer_id
37:26.0,405.741,799.496,35.449,0.665,5.73,136.7,12.99,1
37:26.0,405.458,799.511,35.446,0.665,5.73,136.7,12.99,1
37:26.1,404.855,799.503,35.443,0.653,5.73,136.7,12.99,1
37:26.1,404.581,799.49,35.448,0.653,5.73,136.7,12.99,1
37:26.2,403.944,799.497,35.454,0.57,5.73,136.7,12.99,1
37:26.2,403.701,799.496,35.453,0.57,6.36,139.7,13.15,1
37:26.3,402.941,799.508,35.449,0.577,6.36,139.7,13.15,1
37:26.3,402.703,799.496,35.456,0.577,6.36,139.7,13.15,1
37:26.4,402.019,799.494,35.455,0.661,6.36,139.7,13.15,1
37:26.4,401.734,799.505,35.45,0.661,6.36,139.7,13.15,1
37:26.5,400.736,799.505,35.452,0.625,6.09,137.3,13.42,1
37:26.5,400.463,799.502,35.459,0.625,6.09,137.3,13.42,1
37:26.6,400.242,799.506,35.444,0.157,6.09,137.3,13.42,1
37:26.6,399.996,799.492,35.437,0.157,6.09,137.3,13.42,1
37:26.7,399.996,799.492,35.437,0.0,6.09,137.3,13.42,1
37:26.8,399.996,799.492,35.437,0.0,6.26,137.8,13.24,1
37:26.9,399.996,799.492,35.437,0.0,6.26,137.8,13.24,1
37:26.9,399.996,799.492,35.437,0.0,6.26,137.8,13.24,1
37:26.9,399.996,799.492,35.437,0.0,6.26,137.8,13.24,1
37:27.0,399.996,799.492,35.437,0.0,5.55,110.7,12.24,1
37:27.0,399.996,799.492,35.437,0.0,5.55,110.7,12.24,1
37:27.1,399.996,799.492,35.437,0.0,5.55,110.7,12.24,1
37:44.9,400.002,799.489,37.4,0.0,7.0,124.6,13.05,2
37:44.9,400.372,799.5,37.399,0.694,2.51,0.0,0.02,2
37:45.0,400.665,799.499,37.402,0.694,2.51,0.0,0.02,2
37:45.0,401.679,799.497,37.408,0.749,2.51,0.0,0.02,2
37:45.1,401.995,799.501,37.397,0.749,2.51,0.0,0.02,2
37:45.1,402.948,799.499,37.399,0.823,2.51,0.0,0.02,2
37:45.2,403.969,799.496,37.398,0.823,3.13,106.4,11.14,2
37:45.3,404.916,799.508,37.396,0.757,3.13,106.4,11.14,2
37:45.3,405.243,799.488,37.395,0.757,3.13,106.4,11.14,2
