time,x,y,z,speed,WFS,I,U,layer_id
38:53.4,399.999,799.498,43.402,0.0,6.66,138.5,13.5,5
38:53.4,399.999,799.498,43.402,0.0,6.66,138.5,13.5,5
38:53.5,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
38:53.5,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
38:53.6,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
38:53.6,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
38:53.7,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
38:53.7,399.999,799.498,43.402,0.0,6.9,131.4,13.56,5
39:11.5,399.997,799.5,45.398,0.058,7.0,124.6,13.05,6
39:11.5,400.02,799.505,45.401,0.058,7.0,124.6,13.05,6
39:11.6,400.84,799.499,45.399,1.087,7.0,124.6,13.05,6
39:11.6,401.309,799.495,45.406,1.087,7.0,124.6,13.05,6
39:11.7,402.503,799.5,45.398,1.133,2.5,43.8,4.62,6
39:11.7,402.974,799.511,45.399,1.133,2.5,43.8,4.62,6
39:11.8,404.18,799.502,45.402,1.111,2.5,43.8,4.62,6
39:11.8,404.648,799.501,45.414,1.111,2.5,43.8,4.62,6
39:11.9,405.779,799.496,45.397,0.977,2.5,43.8,4.62,6
39:12.0,407.05,799.493,45.398,0.977,5.02,115.6,11.84,6
39:12.0,408.519,799.497,45.404,0.94,5.02,115.6,11.84,6
39:12.1,408.921,799.5,45.402,0.94,5.02,115.6,11.84,6
39:12.1,410.116,799.498,45.396,1.023,5.02,115.6,11.84,6
39:12.2,411.466,799.494,45.413,1.023,5.93,128.6,12.8,6
39:12.3,412.726,799.5,45.405,1.113,5.93,128.6,12.8,6
39:12.3,413.2,799.495,45.403,1.113,5.93,128.6,12.8,6
39:12.4,414.8,799.493,45.4,0.997,6.12,128.6,13.23,6
39:12.5,416.068,799.501,45.402,0.997,6.12,134.7,13.23,6
39:12.6,417.534,799.496,45.389,1.11,6.12,134.7,13.23,6
39:12.6,418.007,799.495,45.409,1.11,6.12,134.7,13.23,6
39:12.7,419.539,799.496,45.393,1.022,6.84,137.9,13.54,6
39:12.8,421.013,799.495,45.407,1.022,6.84,137.9,13.54,6
39:12.9,422.747,799.504,45.404,1.026,6.84,137.9,13.54,6
39:13.0,424.087,799.502,45.413,1.026,6.98,139.9,13.88,6
39:13.1,425.555,799.495,45.403,0.986,6.98,139.9,13.88,6
39:13.1,426.758,799.504,45.399,0.986,6.98,139.9,13.88,6
39:13.2,427.955,799.495,45.398,0.96,7.14,142.0,14.03,6
39:13.2,428.357,799.511,45.401,0.96,7.14,142.0,14.03,6
39:13.3,429.695,799.488,45.403,0.966,7.14,142.0,14.03,6
39:13.3,430.094,799.501,45.403,0.966,7.14,142.0,14.03,6
39:13.4,431.228,799.502,45.396,1.113,7.14,142.0,14.03,6
39:13.4,431.697,799.505,45.394,1.113,7.14,142.0,14.03,6
39:13.5,432.898,799.493,45.399,0.887,7.03,139.9,13.84,6
39:13.5,433.297,799.507,45.399,0.887,7.03,139.9,13.84,6
39:13.6,434.568,799.491,45.391,1.055,7.03,139.9,13.84,6
39:13.7,435.976,799.505,45.404,1.055,7.03,139.9,13.84,6
39:13.8,437.377,799.498,45.401,0.974,7.11,138.2,13.96,6
39:13.8,437.774,799.509,45.398,0.974,7.11,138.2,13.96,6
39:13.9,439.116,799.5,45.413,1.094,7.11,138.2,13.96,6
39:13.9,439.584,799.504,45.41,1.094,7.11,138.2,13.96,6
39:14.0,440.919,799.504,45.398,1.012,7.36,142.1,14.35,6
39:14.1,442.116,799.504,45.388,1.012,7.36,142.1,14.35,6
39:14.1,443.461,799.494,45.409,1.089,7.36,142.1,14.35,6
39:14.2,443.927,799.495,45.403,1.089,7.36,142.1,14.35,6
39:14.2,445.128,799.493,45.399,0.968,6.31,140.1,12.89,6
39:14.3,446.454,799.506,45.397,0.968,6.31,140.1,12.89,6
39:14.4,447.861,799.5,45.394,0.904,6.31,140.1,12.89,6
39:14.4,448.267,799.495,45.4,0.904,6.31,140.1,12.89,6
39:14.5,449.562,799.506,45.405,0.607,6.94,143.1,13.82,6
39:14.5,449.825,799.501,45.402,0.607,6.94,143.1,13.82,6
39:14.6,449.999,799.486,45.404,0.0,6.94,143.1,13.82,6
39:14.6,449.999,799.486,45.404,0.0,6.94,143.1,13.82,6
39:14.7,449.999,799.486,45.404,0.0,6.94,143.1,13.82,6
39:14.7,449.999,799.486,45.404,0.0,6.94,143.1,13.82,6
39:14.8,449.999,799.486,45.404,0.0,6.98,135.8,13.42,6
39:14.8,449.999,799.486,45.404,0.0,6.98,135.8,13.42,6
39:14.9,449.999,799.486,45.404,0.0,6.98,135.8,13.42,6
39:14.9,449.999,799.486,45.404,0.0,6.98,135.8,13.42,6
39:15.0,449.999,799.486,45.404,0.0,6.98,135.8,13.42,6
39:15.0,449.999,799.486,45.404,0.0,4.2,89.2,10.49,6
