time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
36:55.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:55.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:55.9,449.896,799.488,43.568,0.543,0,6.62,135.2,13.54,4,7,0,100
36:55.9,449.127,799.494,46.87,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.0,447.672,799.491,53.114,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.0,446.393,799.489,58.565,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.1,445.015,799.503,64.481,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.1,443.75,799.488,69.932,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.2,442.365,799.505,75.787,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.3,440.139,799.505,77.712,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.4,440.126,799.5,72.179,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.4,440.124,799.49,66.102,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.5,440.12,799.504,60.078,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.5,439.617,799.501,56.218,2.5,0,6.62,135.2,13.54,4,7,0,100
36:56.6,438.109,799.497,55.457,2.005,0,6.62,135.2,13.54,4,7,0,100
36:56.6,436.513,799.499,55.461,1.923,0,6.62,135.2,13.54,4,7,0,100
36:56.7,434.776,799.491,55.455,2.083,0,6.62,135.2,13.54,4,7,0,100
36:56.7,433.177,799.491,55.454,1.902,0,6.62,135.2,13.54,4,7,0,100
36:56.8,431.442,799.501,55.439,2.041,0,6.62,135.2,13.54,4,7,0,100
36:56.9,426.384,799.5,55.446,1.921,0,6.62,135.2,13.54,4,7,0,100
36:57.0,424.786,799.507,55.449,1.921,0,6.62,135.2,13.54,4,7,0,100
36:57.0,423.051,799.496,55.453,2.076,0,6.62,135.2,13.54,4,7,0,100
36:57.1,421.319,799.499,55.445,2.053,0,6.62,135.2,13.54,4,7,0,100
36:57.1,419.724,799.507,55.458,1.909,0,6.62,135.2,13.54,4,7,0,100
36:57.2,417.991,799.493,55.449,2.061,0,6.62,135.2,13.54,4,7,0,100
36:57.2,416.258,799.51,55.445,2.025,0,6.62,135.2,13.54,4,7,0,100
36:57.3,414.66,799.496,55.45,1.91,0,6.62,135.2,13.54,4,7,0,100
36:57.3,412.934,799.497,55.456,2.041,0,6.62,135.2,13.54,4,7,0,100
36:57.4,411.333,799.51,55.445,1.93,0,6.62,135.2,13.54,4,7,0,100
36:57.5,408.403,799.509,55.452,2.048,0,6.62,135.2,13.54,4,7,0,100
36:57.5,406.67,799.505,55.45,2.048,0,6.62,135.2,13.54,4,7,0,100
36:57.6,405.073,799.499,55.461,1.921,0,6.62,135.2,13.54,4,7,0,100
36:57.6,403.339,799.502,55.44,2.039,0,6.62,135.2,13.54,4,7,0,100
36:57.7,401.741,799.496,55.449,1.94,0,6.62,135.2,13.54,4,7,0,100
36:57.7,400.011,799.502,55.458,2.07,0,6.62,135.2,13.54,4,7,0,100
36:57.8,398.411,799.503,55.449,1.887,0,6.62,135.2,13.54,4,7,0,100
36:57.8,396.679,799.506,55.452,2.02,0,6.62,135.2,13.54,4,7,0,100
36:57.9,394.815,799.488,55.443,2.188,0,6.62,135.2,13.54,4,7,0,100
36:57.9,393.215,799.503,55.439,1.849,0,6.62,135.2,13.54,4,7,0,100
36:58.0,389.885,799.501,55.442,2.058,0,6.62,135.2,13.54,4,7,0,100
36:58.1,388.153,799.508,55.447,2.058,0,6.62,135.2,13.54,4,7,0,100
36:58.1,386.426,799.504,55.458,2.007,0,6.62,135.2,13.54,4,7,0,100
36:58.2,384.829,799.498,55.458,1.922,0,6.62,135.2,13.54,4,7,0,100
36:58.2,383.097,799.488,55.446,2.055,0,6.62,135.2,13.54,4,7,0,100
36:58.3,381.488,799.506,55.433,1.929,0,6.62,135.2,13.54,4,7,0,100
36:58.3,379.762,799.495,55.445,2.051,0,6.62,135.2,13.54,4,7,0,100
36:58.4,378.039,799.5,55.465,2.029,0,6.62,135.2,13.54,4,7,0,100
36:58.4,376.298,799.51,55.445,2.058,0,6.62,135.2,13.54,4,7,0,100
36:58.5,374.707,799.497,55.454,1.903,0,6.62,135.2,13.54,4,7,0,100
36:58.6,371.375,799.505,55.461,1.931,0,6.62,135.2,13.54,4,7,0,100
36:58.6,369.776,799.501,55.461,1.931,0,6.62,135.2,13.54,4,7,0,100
36:58.7,368.175,799.497,55.443,1.921,0,6.62,135.2,13.54,4,7,0,100
36:58.7,366.441,799.498,55.447,2.036,0,6.62,135.2,13.54,4,7,0,100
36:58.8,364.715,799.504,55.452,2.062,0,6.62,135.2,13.54,4,7,0,100
36:58.8,362.978,799.502,55.45,2.041,0,6.62,135.2,13.54,4,7,0,100
36:58.9,361.384,799.509,55.462,1.878,0,6.62,135.2,13.54,4,7,0,100
36:58.9,359.651,799.502,55.45,2.066,0,6.62,135.2,13.54,4,7,0,100
36:59.0,357.918,799.501,55.443,2.042,0,6.62,135.2,13.54,4,7,0,100
36:59.0,356.319,799.5,55.446,1.936,0,6.62,135.2,13.54,4,7,0,100
36:59.1,353.123,799.493,55.451,1.861,0,6.62,135.2,13.54,4,7,0,100
36:59.2,351.523,799.501,55.452,1.861,0,6.62,135.2,13.54,4,7,0,100
36:59.2,350.12,799.501,56.592,2.125,0,6.62,135.2,13.54,4,7,0,100
36:59.3,349.88,799.498,61.813,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.3,349.878,799.51,67.877,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.4,349.877,799.487,73.467,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.4,349.875,799.495,79.548,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.5,350.7,799.489,84.141,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.5,355.525,799.496,84.329,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.6,361.471,799.501,83.126,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.7,372.001,799.496,81.02,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.7,377.955,799.511,79.846,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.8,383.906,799.498,78.658,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.8,389.855,799.505,77.465,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.9,394.896,799.496,76.462,2.5,0,6.62,135.2,13.54,4,7,0,100
36:59.9,400.844,799.504,75.276,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.0,406.789,799.503,74.081,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.0,412.286,799.497,72.983,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.1,418.234,799.497,71.786,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.1,424.185,799.492,70.594,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.2,434.714,799.501,68.498,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.3,446.324,799.51,64.963,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.4,449.416,799.504,60.703,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.4,450.001,799.507,54.789,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.5,450.003,799.504,48.729,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.5,450,799.51,43.114,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.6,450.009,799.491,37.548,2.5,0,6.62,135.2,13.54,4,7,0,100
37:00.6,449.997,799.497,35.483,2.444,0,6.62,135.2,13.54,4,7,0,100
37:00.7,450.003,799.495,35.454,0.035,0,6.62,135.2,13.54,4,7,0,100
37:00.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:00.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:00.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
