X,Y,Z,layer_id_2MethodKmean7
1868.66,353.14,-39.4549,1
1868.66,353.197,-39.4389,1
1868.66,353.254,-39.4462,1
1868.66,353.31,-39.4602,1
1868.66,353.366,-39.4675,1
1868.67,353.425,-39.4505,1
1868.67,353.481,-39.4501,1
1868.67,353.538,-39.4729,1
1868.66,353.593,-39.487,1
1868.67,353.651,-39.4787,1
1868.67,353.707,-39.485,1
1868.66,353.763,-39.5311,1
1868.65,353.818,-39.554,1
1868.65,353.876,-39.5612,1
1868.65,353.931,-39.5831,1
1868.64,353.986,-39.637,1
1868.63,354.042,-39.6676,1
1868.63,354.099,-39.6748,1
1868.63,354.155,-39.6976,1
1868.63,354.211,-39.7195,1
1868.62,354.268,-39.7346,1
1868.62,354.325,-39.7418,1
1868.62,354.381,-39.7646,1
1868.62,354.437,-39.7943,1
1868.6,354.492,-39.8646,1
1868.59,354.548,-39.903,1
1868.58,354.604,-39.9568,1
1868.56,354.658,-40.0428,1
1868.55,354.713,-40.1044,1
1868.54,354.769,-40.1428,1
1868.53,354.826,-40.1811,1
1868.51,354.88,-40.2671,0
1868.5,354.936,-40.3296,0
1868.48,354.99,-40.4233,0
1868.47,355.047,-40.4626,0
1868.45,355.101,-40.5563,0
1868.42,355.156,-40.6743,0
1868.38,355.209,-40.8165,0
1868.35,355.264,-40.9432,0
1868.19,355.306,-41.6067,0
1867.06,351.131,-41.2894,0
1867.21,351.219,-40.7225,0
1867.27,351.289,-40.483,0
1867.31,351.355,-40.3164,0
1867.36,351.42,-40.1575,1
1867.37,351.48,-40.1094,1
1867.38,351.539,-40.0691,1
1867.4,351.598,-40.021,1
1867.42,351.661,-39.9175,1
1867.45,351.722,-39.8228,1
1867.46,351.782,-39.7825,1
1867.47,351.84,-39.7587,1
1867.49,351.9,-39.695,1
1867.51,351.96,-39.6236,1
1867.52,352.018,-39.5989,1
1867.53,352.078,-39.5517,1
1867.54,352.136,-39.5114,1
1867.56,352.195,-39.4633,1
1867.56,352.252,-39.4551,1
1867.57,352.31,-39.4381,1
1867.58,352.368,-39.4065,1
1867.59,352.427,-39.3662,1
1867.6,352.484,-39.3502,1
1867.6,352.542,-39.341,1
1867.6,352.597,-39.356,1
1867.59,352.653,-39.3788,1
1867.6,352.711,-39.3541,1
1867.62,352.77,-39.3147,1
1867.62,352.826,-39.3211,1
1867.62,352.884,-39.2973,1
1867.63,352.942,-39.2725,1
1867.63,352.998,-39.272,1
1867.64,353.056,-39.2637,1
1867.64,353.113,-39.2623,1
1867.64,353.169,-39.2851,1
1867.63,353.224,-39.2992,1
1867.64,353.281,-39.2987,1
1867.63,353.338,-39.3138,1
1867.63,353.393,-39.3356,1
1867.63,353.45,-39.3429,1
1867.64,353.507,-39.3259,1
1867.64,353.565,-39.3177,1
1867.64,353.622,-39.3172,1
1867.64,353.678,-39.3312,1
1867.64,353.734,-39.3385,1
1867.64,353.791,-39.3448,1
1867.64,353.847,-39.3599,1
1867.63,353.903,-39.3905,1
1867.63,353.958,-39.4211,1
1867.63,354.015,-39.4429,1
1867.62,354.07,-39.4891,1
1867.61,354.126,-39.5274,1
1867.6,354.182,-39.5502,1
1867.61,354.239,-39.5488,1
1867.61,354.296,-39.525,1
1867.6,354.352,-39.5789,1
1867.59,354.408,-39.624,1
1867.58,354.462,-39.6702,1
1867.58,354.518,-39.7007,1
1867.57,354.574,-39.7469,1
1867.57,354.63,-39.7619,1
1867.56,354.686,-39.808,1
1867.54,354.741,-39.8939,1
1867.52,354.796,-39.9789,1
1867.51,354.851,-40.0328,1
1867.5,354.907,-40.0721,1
1867.48,354.963,-40.157,1
1867.46,355.017,-40.2352,0
1867.45,355.073,-40.2978,0
1867.43,355.128,-40.3517,0
1867.41,355.184,-40.4385,0
1867.38,355.238,-40.5643,0
1867.35,355.292,-40.6977,0
1867.31,355.345,-40.8885,0
1867.14,355.386,-41.5676,0
1866.18,351.142,-41.0762,0
1866.4,351.245,-40.2333,0
1866.44,351.309,-40.0987,1
1866.47,351.371,-39.9953,1
1866.48,351.431,-39.9394,1
1866.5,351.49,-39.8913,1
1866.51,351.551,-39.8277,1
1866.54,351.612,-39.7329,1
1866.56,351.672,-39.6771,1
1866.58,351.734,-39.5979,1
1866.59,351.793,-39.542,1
1866.61,351.853,-39.4716,1
1866.63,351.912,-39.4235,1
1866.64,351.971,-39.3842,1
1866.65,352.029,-39.3439,1
1866.66,352.088,-39.32,1
1866.67,352.146,-39.2798,1
1866.68,352.204,-39.2637,1
1866.68,352.26,-39.2623,1
1866.7,352.32,-39.1996,1
1866.71,352.378,-39.1748,1
1866.71,352.435,-39.1821,1
1866.71,352.492,-39.1729,1
1866.73,352.551,-39.118,1
1866.73,352.609,-39.102,1
1866.74,352.666,-39.1005,1
1866.74,352.722,-39.1078,1
1866.73,352.776,-39.1452,1
1866.73,352.833,-39.1447,1
1866.74,352.891,-39.1132,1
1866.75,352.948,-39.0962,1
1866.75,353.006,-39.1035,1
1866.75,353.061,-39.102,1
1866.75,353.119,-39.0938,1
1866.75,353.175,-39.101,1
1866.76,353.232,-39.0996,1
1866.76,353.289,-39.0913,1
1866.76,353.346,-39.0899,1
1866.76,353.402,-39.1049,1
1866.76,353.459,-39.1122,1
1866.76,353.515,-39.1108,1
1866.76,353.571,-39.1414,1
1866.75,353.627,-39.1554,1
1866.76,353.683,-39.155,1
1866.76,353.74,-39.1535,1
1866.76,353.798,-39.1452,1
1866.76,353.853,-39.1759,1
1866.75,353.909,-39.1977,1
1866.75,353.966,-39.205,1
1866.75,354.022,-39.2113,1
1866.75,354.079,-39.2264,1
1866.74,354.133,-39.2958,1
1866.73,354.189,-39.3176,1
1866.73,354.245,-39.3327,1
1866.73,354.301,-39.3555,1
1866.72,354.357,-39.3851,1
1866.71,354.413,-39.4312,1
1866.7,354.468,-39.4696,1
1866.69,354.523,-39.5235,1
1866.69,354.579,-39.5541,1
1866.68,354.636,-39.5759,1
1866.68,354.692,-39.5987,1
1866.67,354.748,-39.6449,1
1866.65,354.802,-39.7453,1
1866.64,354.858,-39.7924,1
1866.62,354.912,-39.8619,1
1866.6,354.967,-39.9468,1
1866.59,355.023,-40.0094,1
1866.58,355.078,-40.0633,1
1866.57,355.135,-40.0939,1
1866.55,355.19,-40.1875,1
1866.5,355.241,-40.3919,0
1866.48,355.297,-40.4623,0
1866.43,355.349,-40.6754,0
1866.4,355.403,-40.8098,0
1865.03,351.142,-41.4144,0
1865.31,351.257,-40.3306,0
1865.37,351.327,-40.0931,1
1865.4,351.391,-39.9663,1
1865.43,351.453,-39.855,1
1865.45,351.513,-39.8069,1
1865.47,351.575,-39.72,1
1865.51,351.637,-39.5942,1
1865.53,351.699,-39.4995,1
1865.54,351.757,-39.4756,1
1865.56,351.819,-39.3887,1
1865.58,351.878,-39.3406,1
1865.59,351.937,-39.3013,1
1865.61,351.996,-39.2376,1
1865.63,352.057,-39.1517,1
1865.64,352.115,-39.1347,1
1865.65,352.174,-39.0876,1
1865.67,352.232,-39.0405,1
1865.67,352.289,-39.0235,1
1865.67,352.346,-39.0385,1
1865.68,352.403,-39.0137,1
1865.69,352.462,-38.9666,1
1865.7,352.52,-38.9506,1
1865.7,352.577,-38.9492,1
1865.7,352.633,-38.9487,1
1865.7,352.688,-38.9783,1
1865.7,352.745,-38.9701,1
1865.71,352.804,-38.9307,1
1865.72,352.861,-38.9137,1
1865.73,352.919,-38.8822,1
1865.73,352.975,-38.8972,1
1865.73,353.032,-38.8958,1
1865.73,353.087,-38.9109,1
1865.72,353.143,-38.9405,1
1865.72,353.199,-38.94,1
1865.73,353.257,-38.9075,1
1865.74,353.315,-38.8759,1
1865.75,353.372,-38.8754,1
1865.74,353.428,-38.8973,1
